Date,Open Price,High Price,Low Price,Close Price,Average Price=(O+H+L+C)/4,Volume,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
26-Sep-18,1960,1977.7,1956.5,1967.35,1966.504927935565917761,94360,6247,185559405,50453,53.47,21.2,7.35
27-Sep-18,1980,1987.85,1957.7,1977.95,1971.383277653800953374,75731,3678,149294827,34115,45.05,30.15,-2.05
28-Sep-18,1980,2014.4,1978.1,2005.65,2001.963328732005521593,126775,5213,253798901,33334,26.29,36.3,25.65
01-Oct-18,2015,2043.1,1999.6,2036.35,2019.430518595443629519,123256,5345,248906928,62299,50.54,43.5,21.35
03-Oct-18,2043,2052,2007.5,2031.2,2031.441378843288636055,73830,3247,149981317,23975,32.47,44.5,-11.8
04-Oct-18,2016.9,2016.9,1941,1960.9,1980.615541105274897117,407989,8552,808069354,273727,67.09,75.9,-56
05-Oct-18,1959.8,1990.5,1941.9,1962.85,1968.032076228346145373,177047,6067,348434175,78029,44.07,48.6,3.05
08-Oct-18,1975,1975,1930,1945.95,1948.096142782747629966,366767,8044,714497378,216682,59.08,45,-29.05
09-Oct-18,1955,1963.95,1930.65,1942.55,1943.941975767233874832,352663,3654,685556409,271363,76.95,33.3,-12.45
10-Oct-18,1957,1980.75,1937,1966.3,1962.112432697559833680,269121,3336,528045660,149350,55.5,43.75,9.3
11-Oct-18,1940,1947,1920.75,1935.85,1929.962602244979434948,107707,4087,207870482,36817,34.18,26.25,-4.15
12-Oct-18,1952,1996.25,1949.25,1979,1980.287328254776193833,58153,1971,115159649,24548,42.21,47,27
15-Oct-18,1998,2010,1970.9,2007.85,1995.325618515562649640,52626,2480,105006006,19571,37.19,39.1,9.85
16-Oct-18,2010,2018.2,1989,1992.4,2000.242845875132483793,81142,2263,162303705,28580,35.22,29.2,-17.6
17-Oct-18,2014.95,2014.95,1965,1974.95,1994.979970893214480625,54970,2299,109664049,17274,31.42,49.95,-40
19-Oct-18,1967.9,1979.5,1959.05,1965.8,1967.343362262937962070,93330,2919,183612156,45567,48.82,20.45,-2.1
22-Oct-18,2005.3,2020.45,1988,1993,1998.775506806881427816,138169,5657,276168813,50265,36.38,32.45,-12.3
23-Oct-18,1988,1998,1974.15,1985,1987.781172793884747766,47357,2533,94135353,17306,36.54,23.85,-3
24-Oct-18,2001,2006,1973.55,1991,1987.768135848689648465,82268,2706,163529709,32038,38.94,32.45,-10
