Date,Open Price,High Price,Low Price,Close Price,Average Price=(O+H+L+C)/4,Volume,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
15-Nov-23,3385.1,3413,3360,3399.3,3390.789325,128174,10535,434611031,102130,79.68,53,14.2
16-Nov-23,3467,3529,3415.5,3498,3491.666317,169895,11085,593216649,104373,61.43,113.5,31
17-Nov-23,3518.95,3524.5,3494.05,3502.65,3513.085903,271375,23780,953363687,64193,23.65,30.45,-16.3
20-Nov-23,3493.95,3533.1,3493,3519.3,3518.068385,80442,10863,283000457,53813,66.9,40.1,25.35
21-Nov-23,3523,3539.4,3502,3510.3,3527.833463,48656,5370,171650265,28121,57.8,37.4,-12.7
22-Nov-23,3492.05,3532.45,3481,3529.85,3509.470843,114862,12085,403104840,60499,52.67,51.45,37.8
23-Nov-23,3539.75,3543.4,3499,3508.95,3511.485518,196038,16153,688384598,108525,55.36,44.4,-30.8
24-Nov-23,3499,3504.9,3452.25,3457.6,3472.673163,365537,26628,1269390530,74167,20.29,52.65,-41.4
28-Nov-23,3453,3480,3431.6,3470.45,3451.067426,58924,7584,203350697,36598,62.11,48.4,17.45
29-Nov-23,3475.15,3517,3475.15,3513.1,3503.711665,98285,9376,344362301,57448,58.45,41.85,37.95
30-Nov-23,3507.45,3515,3481.3,3493.4,3500.046027,46364,3733,162276134,28928,62.39,33.7,-14.05
01-Dec-23,3495.1,3517.15,3490,3509.6,3505.36613,441821,21656,1548744369,82730,18.72,27.15,14.5
04-Dec-23,3533.05,3545,3499,3509.65,3512.862296,48292,3638,169643146,29183,60.43,46,-23.4
05-Dec-23,3537,3537,3503,3529.9,3521.410581,77724,4988,273698116,56548,72.75,34,-7.1
06-Dec-23,3530.45,3612.4,3526.9,3603.35,3575.521519,48863,4533,174710708,23913,48.94,85.5,72.9
07-Dec-23,3616.95,3631,3592.35,3616.7,3615.689037,37043,3410,133935969,18031,48.68,38.65,-0.25
08-Dec-23,3620.15,3644,3601.15,3626.4,3624.948674,274344,20588,994482919,47785,17.42,42.85,6.25
11-Dec-23,3626.4,3652.7,3623,3642.2,3636.902292,22168,2581,80622850,10697,48.25,29.7,15.8
12-Dec-23,3640,3699,3632.2,3672.05,3670.187487,77392,10223,284043150,44811,57.9,66.8,32.05
